iteration,planning_time,execution_time
0,0.172533,0
1,0.0334204,0
2,0.0829958,0
3,0.276306,57.5592
4,0.0385397,20.0201
5,0.0234275,0
6,0.417115,0
7,0.124932,0
8,0.107987,0
9,0.0667151,35.9441
10,0.477125,58.5084
11,0.252851,43.8511
12,0.023846,0
13,0.0241939,0
14,0.0539642,19.6011
15,0.164366,0
16,0.30397,0
17,0.0790936,30.8934
18,0.374349,0
19,0.253116,0
20,0.329162,0
21,0.137067,39.825
22,0.0552482,0
23,0.114856,45.0002
24,0.0943167,39.885
25,0.0333649,0
26,0.0691799,30.8554
27,0.282385,58.3579
28,0.0341886,0
29,0.0603885,24.6673
30,0.315108,0.00317311
31,0.0241492,0
32,0.0230583,0
33,0.319788,0
34,0.023181,0
35,0.390504,80.0685
36,0.186071,0
37,0.0609202,28.6115
38,0.0435371,0
39,0.231329,0
40,0.433172,0
41,0.0665803,25.0561
42,0.0420514,17.6801
43,0.202487,46.5781
44,0.113899,0
45,0.313602,0
46,0.0333803,0
47,0.0225636,0
48,0.133691,52.6052
49,0.151692,0.00134862
