run,planning_time,execution_time,trajectory_points,success
0,0.278718,0.0171222,77,1
1,0.0768694,0.0152688,51,1
2,0.435512,0.0139015,92,1
3,0.11461,0.0081888,43,1
4,0.425124,0,0,0
5,0.153212,0.00771144,51,1
6,0.427452,0.0117106,51,1
7,1.65719,0.48588,102,1
8,1.13936,0.0110231,112,1
9,0.786567,0.0632126,81,1
10,0.367418,0.010978,56,1
11,0.651098,0.00251533,73,1
12,0.237976,0.0146192,69,1
13,0.083803,0.0160478,71,1
14,0.268591,0,0,0
15,0.106643,0.00484085,65,1
16,0.0832452,0.040614,51,1
17,0.180393,0.0047264,43,1
18,0.218713,0.00889271,77,1
19,0.457713,0,0,0
20,0.424397,0.00825586,131,1
21,0.0992773,0.00368304,65,1
22,0.0754179,0,0,0
23,0.276482,0,0,0
24,0.2467,0.00873943,71,1
25,0.300473,0.0124539,94,1
26,0.149677,0.00251775,43,1
27,0.328832,0,0,0
28,0.359385,0.00591016,80,1
29,0.0395111,0.00359079,51,1
30,0.0576744,0.00713693,72,1
31,0.0942111,0.0112027,45,1
32,0.21916,0.00980704,75,1
33,0.288576,0.00968713,96,1
34,0.363127,0,0,0
35,0.0962454,0.0138446,77,1
36,0.069014,0.00725378,51,1
37,0.0837994,0.00481726,66,1
38,0.233047,0.00252618,75,1
39,0.280044,0,0,0
40,0.0677002,0.00240746,30,1
41,0.347176,0,0,0
42,0.131711,0,0,0
43,0.189673,0.00372177,95,1
44,0.370783,0,0,0
45,0.381258,0,0,0
46,0.367479,0.0231006,43,1
47,0.0893188,0.0142627,30,1
48,0.265067,0.00821443,79,1
49,0.0528515,0.00543884,74,1
